dataset,week,model,protocol,reference_protocol,metric,delta,ci_low,ci_high,n_clusters
oulab,2,stack_7_full,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.01714542710023248,-0.0053860885980787365,0.03669511319864411,22
oulab,2,stack_7_full,cutoff_valid_to_activity,cutoff_valid,brier,-0.0007050416131312021,-0.002536169073703253,0.0013552061655372866,22
oulab,2,stack_7_full,cutoff_valid_to_activity,cutoff_valid,ece,0.011503022815920427,-0.0030752777770812812,0.02139125433481876,22
oulab,2,stack_7_full,static_full,cutoff_valid,auc,0.05570911738936646,0.046309991651962895,0.06517190805096605,22
oulab,2,stack_7_full,static_full,cutoff_valid,pr_auc_risk,0.12509322672808498,0.10252669037186236,0.15024309825375406,22
oulab,2,stack_7_full,static_full,cutoff_valid,brier,-0.021027854709559646,-0.024618652376079245,-0.016915219839454147,22
oulab,2,stack_7_full,static_full,cutoff_valid,ece,-0.0008655960665976958,-0.005335847575224844,0.0033558194277729884,22
oulab,2,temporal_hgb,activity_conditioned,cutoff_valid,auc,0.00509108736305941,-0.00564405492598066,0.012949968469529538,22
oulab,2,temporal_hgb,activity_conditioned,cutoff_valid,pr_auc_risk,0.016712514969565384,-0.011219479396071765,0.03836603440272021,22
oulab,2,temporal_hgb,activity_conditioned,cutoff_valid,brier,-0.0002399804036489206,-0.0021389974133668257,0.0022913444606883875,22
oulab,2,temporal_hgb,activity_conditioned,cutoff_valid,ece,-0.0011097988916273296,-0.006518262219735659,0.005834608442772465,22
oulab,2,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,auc,0.00042716064910341967,-0.00042817890976750984,0.00120327060338668,22
oulab,2,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.0003413219377986776,-0.0025830722446106846,0.0032141417143537847,22
oulab,2,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,brier,0.0006678005131913467,-0.0015765629136070165,0.003373839381070996,22
oulab,2,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,ece,0.018247017537930402,-0.0211083310922157,0.02506964787557606,22
oulab,2,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,auc,0.0036788699501648647,-0.007087442973687422,0.011917006645616283,22
oulab,2,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.014024115530763881,-0.013946061383241818,0.03625136297204805,22
oulab,2,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,brier,0.0011799565052141026,-0.000771570227899214,0.0032651103865847155,22
oulab,2,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,ece,0.019024299899657187,-0.021044111858070636,0.02670097636199001,22
oulab,2,temporal_hgb,static_full,cutoff_valid,auc,0.0649269340815094,0.05436044446802986,0.07545266698323527,22
oulab,2,temporal_hgb,static_full,cutoff_valid,pr_auc_risk,0.145163709331393,0.11914342246945354,0.1705248141455009,22
oulab,2,temporal_hgb,static_full,cutoff_valid,brier,-0.020099424918792408,-0.024185314438761017,-0.014922764307220305,22
oulab,2,temporal_hgb,static_full,cutoff_valid,ece,-0.0011462786291476599,-0.007385658474685783,0.0061275995714839705,22
oulab,4,base_lr_profile,activity_conditioned,cutoff_valid,auc,-0.00947931014949177,-0.015899730939889015,-0.0032094599223146483,22
oulab,4,base_lr_profile,activity_conditioned,cutoff_valid,pr_auc_risk,-0.000572369219267066,-0.020276889641059555,0.01775257864275437,22
oulab,4,base_lr_profile,activity_conditioned,cutoff_valid,brier,0.006089313177656236,0.0038970339657187205,0.00847332137003278,22
oulab,4,base_lr_profile,activity_conditioned,cutoff_valid,ece,-0.0016440593060218344,-0.007673006451007158,0.006811968082567385,22
oulab,4,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,auc,-0.017442777028225276,-0.02296509983695271,-0.01308043537610131,22
oulab,4,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.03663207465870444,-0.04777423388034056,-0.0271830699447046,22
oulab,4,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,brier,0.005986465106693484,0.003462063816175165,0.008609071262974033,22
oulab,4,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,ece,0.02179639221720891,-0.019658045749891495,0.02763777164328359,22
oulab,4,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,auc,-0.011873404805011756,-0.018295229358089093,-0.005212816396144896,22
oulab,4,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-0.002517244965582033,-0.021309964233071695,0.015408212599775142,22
