dataset,week,protocol,reference_protocol,metric,spearman_rank_correlation,best_reference,best_protocol,ranking_reversal
oulab,8,activity_to_cutoff_valid,cutoff_valid,ece,-0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,8,cutoff_valid_to_activity,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,8,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,8,cutoff_valid_to_activity,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,8,cutoff_valid_to_activity,cutoff_valid,ece,-0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,8,static_full,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,8,static_full,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,8,static_full,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,8,static_full,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,10,activity_conditioned,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,10,activity_conditioned,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,10,activity_conditioned,cutoff_valid,brier,0.7999999999999999,stack_7_full,stack_7_full,False
oulab,10,activity_conditioned,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,10,activity_to_cutoff_valid,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,10,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,10,activity_to_cutoff_valid,cutoff_valid,brier,0.7999999999999999,stack_7_full,stack_7_full,False
oulab,10,activity_to_cutoff_valid,cutoff_valid,ece,-0.39999999999999997,base_lr_profile,temporal_hgb,True
oulab,10,cutoff_valid_to_activity,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,10,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,10,cutoff_valid_to_activity,cutoff_valid,brier,0.7999999999999999,stack_7_full,stack_7_full,False
oulab,10,cutoff_valid_to_activity,cutoff_valid,ece,-0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,10,static_full,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,10,static_full,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,10,static_full,cutoff_valid,brier,0.7999999999999999,stack_7_full,stack_7_full,False
oulab,10,static_full,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,12,activity_conditioned,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,12,activity_conditioned,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,12,activity_conditioned,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
