comparison_type,dataset,week_from,week_to,model,budget,protocol,reference_protocol,jaccard,intersection,union
time,oulab,4,6,base_rf_gini,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6207664884135472,4179,6732
time,oulab,6,8,base_rf_gini,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.6072661762498124,4045,6661
time,oulab,8,10,base_rf_gini,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.7528745209131812,4518,6001
time,oulab,10,12,base_rf_gini,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.9194295239859234,4964,5399
time,oulab,12,14,base_rf_gini,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.8589883551673945,4721,5496
time,oulab,14,16,base_rf_gini,0.2,cutoff_valid_to_activity,cutoff_valid_to_activity,0.872114668652271,4685,5372
time,oulab,2,4,stack_7_full,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.21179039301310043,97,458
time,oulab,4,6,stack_7_full,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.3712121212121212,147,396
time,oulab,6,8,stack_7_full,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.2494172494172494,107,429
time,oulab,8,10,stack_7_full,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.27602905569007263,114,413
time,oulab,10,12,stack_7_full,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.3524804177545692,135,383
time,oulab,12,14,stack_7_full,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.26354679802955666,107,406
time,oulab,14,16,stack_7_full,0.01,cutoff_valid_to_activity,cutoff_valid_to_activity,0.23414634146341465,96,410
time,oulab,2,4,stack_7_full,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.2867068087077351,619,2159
time,oulab,4,6,stack_7_full,0.05,cutoff_valid_to_activity,cutoff_valid_to_activity,0.565766800689259,985,1741
