comparison_type,dataset,week_from,week_to,model,budget,protocol,reference_protocol,jaccard,intersection,union
protocol,oulab,4,4,base_rf_entropy,0.2,cutoff_valid_to_activity,cutoff_valid,0.5049180327868853,3696,7320
protocol,oulab,4,4,base_rf_entropy,0.2,static_full,cutoff_valid,0.18298969072164947,1704,9312
evaluation_population,oulab,4,4,base_rf_entropy,0.2,activity_conditioned,activity_to_cutoff_valid,0.5043015157722245,3693,7323
evaluation_population,oulab,4,4,base_rf_entropy,0.2,cutoff_valid,cutoff_valid_to_activity,0.5049180327868853,3696,7320
protocol,oulab,4,4,base_rf_gini,0.01,activity_conditioned,cutoff_valid,0.08514851485148515,43,505
protocol,oulab,4,4,base_rf_gini,0.01,activity_to_cutoff_valid,cutoff_valid,0.22048997772828507,99,449
protocol,oulab,4,4,base_rf_gini,0.01,cutoff_valid_to_activity,cutoff_valid,0.1440501043841336,69,479
protocol,oulab,4,4,base_rf_gini,0.01,static_full,cutoff_valid,0.05182341650671785,27,521
evaluation_population,oulab,4,4,base_rf_gini,0.01,activity_conditioned,activity_to_cutoff_valid,0.21777777777777776,98,450
evaluation_population,oulab,4,4,base_rf_gini,0.01,cutoff_valid,cutoff_valid_to_activity,0.1440501043841336,69,479
protocol,oulab,4,4,base_rf_gini,0.05,activity_conditioned,cutoff_valid,0.19064124783362218,440,2308
protocol,oulab,4,4,base_rf_gini,0.05,activity_to_cutoff_valid,cutoff_valid,0.713216957605985,1144,1604
protocol,oulab,4,4,base_rf_gini,0.05,cutoff_valid_to_activity,cutoff_valid,0.2456935630099728,542,2206
protocol,oulab,4,4,base_rf_gini,0.05,static_full,cutoff_valid,0.08487958941966048,215,2533
evaluation_population,oulab,4,4,base_rf_gini,0.05,activity_conditioned,activity_to_cutoff_valid,0.24287652645861602,537,2211
evaluation_population,oulab,4,4,base_rf_gini,0.05,cutoff_valid,cutoff_valid_to_activity,0.2456935630099728,542,2206
protocol,oulab,4,4,base_rf_gini,0.1,activity_conditioned,cutoff_valid,0.2822543083372147,1212,4294
protocol,oulab,4,4,base_rf_gini,0.1,activity_to_cutoff_valid,cutoff_valid,0.7999346191565871,2447,3059
