dataset,week,model,contrast,left_protocol,right_protocol,metric,delta,ci_low,ci_high,n_clusters,cluster_unit,identity_residual
oulab,2,base_knn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,brier,0.0005381126984354279,-0.0011797907994280676,0.001999938030368282,7,module,0.0
oulab,2,base_knn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,ece,-0.011278568875572208,-0.016007963391245647,0.01467467343983495,7,module,0.0
oulab,2,base_knn,training_population_component,activity_to_cutoff_valid,cutoff_valid,auc,-0.0007943133849898087,-0.0029657670416572716,0.0012601116531897449,7,module,0.0
oulab,2,base_knn,training_population_component,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.011518310169643775,-0.02436783918836205,-0.0017332119014351033,7,module,0.0
oulab,2,base_knn,training_population_component,activity_to_cutoff_valid,cutoff_valid,brier,-0.0001464676333321202,-0.0019152411944202224,0.001398213173438777,7,module,0.0
oulab,2,base_knn,training_population_component,activity_to_cutoff_valid,cutoff_valid,ece,0.003549823648865264,-0.013799623539439393,0.008337614436074826,7,module,0.0
oulab,2,base_knn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,auc,0.0032845893386671543,0.0009293979047370727,0.005518853365694354,7,module,0.0
oulab,2,base_knn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,pr_auc_risk,0.006571069671758578,0.0021914837108369693,0.01071116927335062,7,module,0.0
oulab,2,base_knn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,brier,-0.0009097530459565295,-0.003868110490129112,0.003006647058823725,7,module,0.0
oulab,2,base_knn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,ece,-0.0022158888493053336,-0.025041838958376493,0.025252608262976567,7,module,0.0
oulab,2,base_knn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,auc,-0.006181718647436774,-0.02105039026937751,0.0012008465118221734,7,module,0.0
oulab,2,base_knn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-9.506446989404616e-05,-0.04011135951081446,0.020047627788766825,7,module,0.0
oulab,2,base_knn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,brier,0.0013013981110598372,-0.003655573037057075,0.0037294969039372607,7,module,0.0
oulab,2,base_knn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,ece,-0.00551285637740161,-0.032645204426026364,0.025464439785520057,7,module,0.0
oulab,2,base_knn,evaluation_population_shapley,combination,combination,auc,-0.004142267285608292,-0.018237266616468642,0.0028224864975698316,7,module,0.0
oulab,2,base_knn,evaluation_population_shapley,combination,combination,pr_auc_risk,0.00894962545080713,-0.023567524306004506,0.02360208740602616,7,module,0.0
oulab,2,base_knn,evaluation_population_shapley,combination,combination,brier,0.0009197554047476325,-0.002283883051797403,0.002448915277690685,7,module,0.0
oulab,2,base_knn,evaluation_population_shapley,combination,combination,ece,-0.008395712626486909,-0.023156062369532427,0.0201323418504083,7,module,0.0
oulab,2,base_knn,training_population_shapley,combination,combination,auc,0.0012451379768386728,-0.0005454351755628972,0.0031798284698354995,7,module,0.0
oulab,2,base_knn,training_population_shapley,combination,combination,pr_auc_risk,-0.0024736202489425985,-0.008201134525282705,0.0017804667072839342,7,module,0.0
oulab,2,base_knn,training_population_shapley,combination,combination,brier,-0.0005281103396443249,-0.0024748643703694927,0.001840100230816294,7,module,0.0
oulab,2,base_knn,training_population_shapley,combination,combination,ece,0.0006669673997799653,-0.019054780018120734,0.016064301971186676,7,module,0.0
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,auc,-0.005525542884318835,-0.01960015054536679,0.00516771717911834,7,module,0.0
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,-0.0033675383283816585,-0.037959417983687946,0.018243419792790205,7,module,0.0
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,brier,0.003243969074275571,-0.0001810794995330093,0.007878349617177677,7,module,0.0
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,ece,0.013836122593676642,-0.0014292911130316898,0.018241965574168267,7,module,0.0
oulab,2,base_lr_clickstream,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,auc,-0.004619835263977912,-0.018106994191943504,0.004531926136547626,7,module,0.0
oulab,2,base_lr_clickstream,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,pr_auc_risk,0.0001646396283310203,-0.037099446292308214,0.019676253474394945,7,module,0.0
