dataset,week,protocol,reference_protocol,metric,spearman_rank_correlation,best_reference,best_protocol,ranking_reversal
oulab,8,activity_to_cutoff_valid,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,8,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.990909090909091,stack_7_full,stack_7_full,False
oulab,8,activity_to_cutoff_valid,cutoff_valid,brier,0.9636363636363637,stack_7_full,stack_7_full,False
oulab,8,activity_to_cutoff_valid,cutoff_valid,ece,0.690909090909091,base_lr_profile,stack_7_full,True
oulab,8,cutoff_valid_to_activity,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,8,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,8,cutoff_valid_to_activity,cutoff_valid,brier,0.990909090909091,stack_7_full,stack_7_full,False
oulab,8,cutoff_valid_to_activity,cutoff_valid,ece,0.6363636363636364,base_lr_profile,stack_7_full,True
oulab,8,static_full,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,8,static_full,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,8,static_full,cutoff_valid,brier,0.9636363636363637,stack_7_full,stack_7_full,False
oulab,8,static_full,cutoff_valid,ece,0.9181818181818183,base_lr_profile,base_lr_profile,False
oulab,10,activity_conditioned,cutoff_valid,auc,0.9727272727272729,stack_7_full,stack_7_full,False
oulab,10,activity_conditioned,cutoff_valid,pr_auc_risk,0.990909090909091,stack_7_full,stack_7_full,False
oulab,10,activity_conditioned,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,10,activity_conditioned,cutoff_valid,ece,0.8909090909090911,base_lr_profile,base_lr_profile,False
oulab,10,activity_to_cutoff_valid,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,10,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,10,activity_to_cutoff_valid,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,10,activity_to_cutoff_valid,cutoff_valid,ece,0.45454545454545453,base_lr_profile,stack_7_full,True
oulab,10,cutoff_valid_to_activity,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,10,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,10,cutoff_valid_to_activity,cutoff_valid,brier,0.990909090909091,stack_7_full,stack_7_full,False
oulab,10,cutoff_valid_to_activity,cutoff_valid,ece,0.5090909090909091,base_lr_profile,stack_7_full,True
oulab,10,static_full,cutoff_valid,auc,0.9727272727272729,stack_7_full,stack_7_full,False
oulab,10,static_full,cutoff_valid,pr_auc_risk,0.990909090909091,stack_7_full,stack_7_full,False
oulab,10,static_full,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,10,static_full,cutoff_valid,ece,0.7363636363636363,base_lr_profile,base_lr_profile,False
oulab,12,activity_conditioned,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,12,activity_conditioned,cutoff_valid,pr_auc_risk,0.990909090909091,stack_7_full,stack_7_full,False
oulab,12,activity_conditioned,cutoff_valid,brier,0.990909090909091,stack_7_full,stack_7_full,False
oulab,12,activity_conditioned,cutoff_valid,ece,0.7545454545454545,base_lr_profile,base_lr_profile,False
oulab,12,activity_to_cutoff_valid,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,12,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,12,activity_to_cutoff_valid,cutoff_valid,brier,0.990909090909091,stack_7_full,stack_7_full,False
oulab,12,activity_to_cutoff_valid,cutoff_valid,ece,0.3181818181818182,base_lr_profile,stack_7_full,True
oulab,12,cutoff_valid_to_activity,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,12,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.990909090909091,stack_7_full,stack_7_full,False
oulab,12,cutoff_valid_to_activity,cutoff_valid,brier,0.990909090909091,stack_7_full,stack_7_full,False
oulab,12,cutoff_valid_to_activity,cutoff_valid,ece,0.39090909090909093,base_lr_profile,stack_7_full,True
oulab,12,static_full,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,12,static_full,cutoff_valid,pr_auc_risk,0.9636363636363637,stack_7_full,stack_7_full,False
