dataset,week,protocol,model,n,n_clusters,cluster_unit,auc_mean,auc_ci_low,auc_ci_high,pr_auc_risk_mean,pr_auc_risk_ci_low,pr_auc_risk_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high
oulab,2,activity_conditioned,base_dffnn,28070,22,presentation,0.7194853568282524,0.7052406505174924,0.7341039994604298,0.6904248961890846,0.6556184545164064,0.7221720955195613,0.21278922764200883,0.20719297450781807,0.21815380652667468,0.016888175590145472,0.00896918229504602,0.04837826341211266
oulab,2,activity_conditioned,base_knn,28070,22,presentation,0.6629619919053094,0.6417146426713174,0.6841741795278181,0.6188089154264031,0.5747139585734549,0.659049175297119,0.22952266761667262,0.22328558415839095,0.23590172961515166,0.022149768436052722,0.01352815230459203,0.04972358128894518
oulab,2,activity_conditioned,base_lr_clickstream,28070,22,presentation,0.6572773369914368,0.631609366467795,0.685326356383026,0.6029031143234382,0.5570157757278915,0.652706577064816,0.23174486213740653,0.22575239673391376,0.23788761546270393,0.03271605856115688,0.02220787007443601,0.060488968691942
oulab,2,activity_conditioned,base_lr_profile,28070,22,presentation,0.6329491698474472,0.6190959922503683,0.6470272590155945,0.5951823807177306,0.5703914840801354,0.6170251598428222,0.23544427008888102,0.23106944995169068,0.24017051099229064,0.00878209545082832,0.0071233411979882075,0.03949445012875515
oulab,2,activity_conditioned,base_lr_weekly,28070,22,presentation,0.669499962386461,0.6433353017068065,0.6962734443637237,0.620447158793304,0.5683115088063375,0.6746757804248809,0.22735596578578898,0.22110623718318506,0.2346937072683563,0.009496362052255196,0.007710320913863869,0.054669006614407434
oulab,2,activity_conditioned,base_rf_entropy,28070,22,presentation,0.7202461238637523,0.7044680511551272,0.7367301798592696,0.6900318101702947,0.6535535544517921,0.7242160222651788,0.2131226412343912,0.2075074494090836,0.21911728293696872,0.02943596340097494,0.010739053179689716,0.06649507353538493
oulab,2,activity_conditioned,base_rf_gini,28070,22,presentation,0.7201864613607469,0.7044809782788539,0.7365727664703814,0.6895605986459874,0.653018836638763,0.723776695389019,0.21319950903228135,0.2075636021001351,0.21921035996814206,0.029641188323816663,0.011354775918265829,0.0669311915886436
oulab,2,activity_conditioned,base_svm,28070,22,presentation,0.6468320539400841,0.6180478186069552,0.676998819547353,0.5885339556887696,0.5434451642188698,0.63929287713619,0.23450377718108414,0.22968300710625017,0.23882308503468952,0.03950287218678104,0.02245475123723025,0.05905765471771808
oulab,2,activity_conditioned,flat_hgb,28070,22,presentation,0.68290927695518,0.6632327260492532,0.7017838533927881,0.6386721105104283,0.5937052834746034,0.6787226599182417,0.22384202895874397,0.2185651954404739,0.2292648216562646,0.007595789434218212,0.006154097840803662,0.04115504784215093
oulab,2,activity_conditioned,stack_7_full,28070,22,presentation,0.7241090656665887,0.7078848874444917,0.7397964967393471,0.6965924578033791,0.6601068072126244,0.7262292980771385,0.21064378024347227,0.2050096719594477,0.21610741593492352,0.006640614859206448,0.007681344381494048,0.0398909027523993
oulab,2,activity_conditioned,temporal_hgb,28070,22,presentation,0.6688069078805496,0.6429765500325578,0.6942655770991659,0.6206354557429838,0.568648406498588,0.6732382028268722,0.2274091348370091,0.22148924916487747,0.23440467702700019,0.008140765341992397,0.006622194683139051,0.053160722778230675
oulab,2,activity_to_cutoff_valid,base_dffnn,28069,22,presentation,0.7136375610562843,0.7001824798717924,0.7278339772497449,0.6734448891424232,0.6391079466866559,0.705957691415494,0.2150658081090136,0.20933320254661686,0.22073434057967928,0.034345352496252986,0.017422573943152986,0.06966570191958128
oulab,2,activity_to_cutoff_valid,base_knn,28069,22,presentation,0.6650648078290892,0.6456889277983707,0.6853647567672999,0.6008146000548948,0.5608000806245065,0.6413811741790146,0.2289845549182372,0.22217748918802765,0.23572653831900206,0.03342833731162493,0.016377135299836445,0.06425024459563003
oulab,2,activity_to_cutoff_valid,base_lr_clickstream,28069,22,presentation,0.6618971722554147,0.6385968221069124,0.6873839327282264,0.6027384746951072,0.559773634492529,0.6516071558961555,0.23080735480090617,0.22435559839427674,0.2371825466557953,0.042926580056861424,0.026790443325844054,0.0740343225270315
oulab,2,activity_to_cutoff_valid,base_lr_profile,28069,22,presentation,0.6257601190175046,0.6106601737263536,0.6411614434251345,0.5763681881143633,0.5457801446256052,0.6026705652271941,0.2360165455106863,0.23198941325864966,0.24031260052787257,0.017959754541394146,0.009499158172616283,0.044706614739714046
oulab,2,activity_to_cutoff_valid,base_lr_weekly,28069,22,presentation,0.6667635353396201,0.6441813743615338,0.6918005335573245,0.6121275613458401,0.5654494240621576,0.6643255615637876,0.22822663681868327,0.22068111870949972,0.2366906184712857,0.030719150701047887,0.009777347536875581,0.08153026535568157
oulab,2,activity_to_cutoff_valid,base_rf_entropy,28069,22,presentation,0.712663603015268,0.6984899015798695,0.7268691002071516,0.6686271979858113,0.6308529503131406,0.7026566642696521,0.2159909745323524,0.21048703563806231,0.22205953760072372,0.04611809402314042,0.012615628475720161,0.08394188871487233
oulab,2,activity_to_cutoff_valid,base_rf_gini,28069,22,presentation,0.7124965756966374,0.6980438785575644,0.7267475045488545,0.6676102684842389,0.6298337553148161,0.7017159518882459,0.21607395510165311,0.21057872067803463,0.22218952292860317,0.046018675267802976,0.013149934121148087,0.08403439944537877
