dataset,week,model,protocol,reference_protocol,budget,n_candidates,n_reference,n_flagged,n_actionable_candidates,n_actionable_flagged,n_invalid_flagged,precision,actionable_precision,precision_among_actionable,wasted_budget_rate,recall_protocol,coverage_adjusted_recall,candidate_coverage
oulab,2,base_dffnn,activity_conditioned,cutoff_valid,0.01,28070,28069,281,26425,191,90,0.8718861209964412,0.5516014234875445,0.8115183246073299,0.3202846975088968,0.018718007487202995,0.012197041233868429,0.9414300473832342
oulab,2,base_dffnn,activity_to_cutoff_valid,cutoff_valid,0.01,28069,28069,281,28069,281,0,0.8932384341637011,0.8932384341637011,0.8932384341637011,0.0,0.019751337740006297,0.019751337740006297,1.0
oulab,2,base_dffnn,cutoff_valid,cutoff_valid,0.01,28069,28069,281,28069,281,0,0.8612099644128114,0.8612099644128114,0.8612099644128114,0.0,0.01904312244255587,0.01904312244255587,1.0
oulab,2,base_dffnn,cutoff_valid_to_activity,cutoff_valid,0.01,28070,28069,281,26425,205,76,0.8576512455516014,0.5871886120996441,0.8048780487804879,0.2704626334519573,0.018412407364962947,0.012983947119924457,0.9414300473832342
oulab,2,base_dffnn,static_full,cutoff_valid,0.01,32593,28069,281,28069,34,247,0.9822064056939501,0.10320284697508897,0.8529411764705882,0.8790035587188612,0.01603905160390516,0.00228202706956248,1.0
oulab,2,base_dffnn,activity_conditioned,cutoff_valid,0.05,28070,28069,1404,26425,1046,358,0.8333333333333334,0.5783475783475783,0.7762906309751434,0.254985754985755,0.0893880357552143,0.06389675794774945,0.9414300473832342
oulab,2,base_dffnn,activity_to_cutoff_valid,cutoff_valid,0.05,28069,28069,1404,28069,1404,0,0.8212250712250713,0.8212250712250713,0.8212250712250713,0.0,0.09073024866226,0.09073024866226,1.0
oulab,2,base_dffnn,cutoff_valid,cutoff_valid,0.05,28069,28069,1404,28069,1404,0,0.8319088319088319,0.8319088319088319,0.8319088319088319,0.0,0.09191060749134404,0.09191060749134404,1.0
oulab,2,base_dffnn,cutoff_valid_to_activity,cutoff_valid,0.05,28070,28069,1404,26425,1111,293,0.8183760683760684,0.6096866096866097,0.7704770477047704,0.20868945868945868,0.08778363511345405,0.06735914384639598,0.9414300473832342
oulab,2,base_dffnn,static_full,cutoff_valid,0.05,32593,28069,1404,28069,338,1066,0.9522792022792023,0.19301994301994302,0.8017751479289941,0.7592592592592593,0.07769642026964203,0.02132514951211835,1.0
oulab,2,base_dffnn,activity_conditioned,cutoff_valid,0.1,28070,28069,2808,26425,2206,602,0.7984330484330484,0.584045584045584,0.743427017225748,0.2143874643874644,0.1712888685155474,0.12905256531318854,0.9414300473832342
oulab,2,base_dffnn,activity_to_cutoff_valid,cutoff_valid,0.1,28069,28069,2808,28069,2808,0,0.7934472934472935,0.7934472934472935,0.7934472934472935,0.0,0.17532263141328297,0.17532263141328297,1.0
oulab,2,base_dffnn,cutoff_valid,cutoff_valid,0.1,28069,28069,2808,28069,2808,0,0.7884615384615384,0.7884615384615384,0.7884615384615384,0.0,0.17422096317280453,0.17422096317280453,1.0
oulab,2,base_dffnn,cutoff_valid_to_activity,cutoff_valid,0.1,28070,28069,2808,26425,2295,513,0.7841880341880342,0.6014957264957265,0.7359477124183007,0.18269230769230768,0.1682328672931469,0.13290840415486307,0.9414300473832342
oulab,2,base_dffnn,static_full,cutoff_valid,0.1,32593,28069,2808,28069,885,1923,0.9383903133903134,0.2535612535612536,0.8045197740112995,0.6848290598290598,0.15312645281264528,0.05602769908718917,1.0
oulab,2,base_dffnn,activity_conditioned,cutoff_valid,0.2,28070,28069,5612,26425,4682,930,0.7385958660014256,0.5730577334283677,0.6868859461768475,0.16571632216678547,0.31667812667125067,0.2530689329556185,0.9414300473832342
oulab,2,base_dffnn,activity_to_cutoff_valid,cutoff_valid,0.2,28069,28069,5612,28069,5612,0,0.7280826799714897,0.7280826799714897,0.7280826799714897,0.0,0.32152974504249293,0.32152974504249293,1.0
oulab,2,base_dffnn,cutoff_valid,cutoff_valid,0.2,28069,28069,5612,28069,5612,0,0.729864575908767,0.729864575908767,0.729864575908767,0.0,0.32231665092854894,0.32231665092854894,1.0
oulab,2,base_dffnn,cutoff_valid_to_activity,cutoff_valid,0.2,28070,28069,5612,26425,4761,851,0.736992159657876,0.5857091945830364,0.6904011762234825,0.15163934426229508,0.31599052639621056,0.2586559647466163,0.9414300473832342
oulab,2,base_dffnn,static_full,cutoff_valid,0.2,32593,28069,5612,28069,2585,3027,0.8982537419814682,0.35887384176764076,0.779110251450677,0.5393799002138275,0.2929451417945142,0.15848284545168398,1.0
oulab,2,base_knn,activity_conditioned,cutoff_valid,0.01,28070,28069,281,26425,216,65,0.7758007117437722,0.5444839857651246,0.7083333333333334,0.2313167259786477,0.016655206662082665,0.012039660056657223,0.9414300473832342
oulab,2,base_knn,activity_to_cutoff_valid,cutoff_valid,0.01,28069,28069,281,28069,281,0,0.7046263345195729,0.7046263345195729,0.7046263345195729,0.0,0.015580736543909348,0.015580736543909348,1.0
oulab,2,base_knn,cutoff_valid,cutoff_valid,0.01,28069,28069,281,28069,281,0,0.8185053380782918,0.8185053380782918,0.8185053380782918,0.0,0.018098835379288636,0.018098835379288636,1.0
oulab,2,base_knn,cutoff_valid_to_activity,cutoff_valid,0.01,28070,28069,281,26425,225,56,0.7330960854092526,0.5338078291814946,0.6666666666666666,0.199288256227758,0.01573840629536252,0.011803588290840416,0.9414300473832342
oulab,2,base_knn,static_full,cutoff_valid,0.01,32593,28069,281,28069,108,173,0.9110320284697508,0.302491103202847,0.7870370370370371,0.6156583629893239,0.014876801487680148,0.006688700031476235,1.0
