week,model,metric,cont,sil,eval_sym,resid
2,base_dffnn,auc,0.019407022421643938,-0.014400324985143875,0.005006697436500063,0.0
2,base_dffnn,pr_auc_risk,0.05355495087497347,-0.03769816263344622,0.015856788241527253,0.0
2,base_dffnn,brier,-0.0042114947479476444,0.002915264816325272,-0.0012962299316223724,0.0
2,base_dffnn,ece,-0.00764421826135929,-0.00012118668576805401,-0.007765404947127344,0.0
2,base_knn,auc,0.013479266088372466,-0.01762411599121272,-0.004144849902840253,0.0
2,base_knn,pr_auc_risk,0.048434390916464454,-0.03949194575513232,0.008942445161332135,0.0
2,base_knn,brier,-0.0012588698622412742,0.0021786252669889067,0.0009197554047476325,0.0
2,base_knn,ece,-0.008159959797761998,-0.00023575282872491388,-0.008395712626486912,0.0
2,base_lr_clickstream,auc,0.01449356588674916,-0.019420216021156733,-0.004926650134407573,0.0
2,base_lr_clickstream,pr_auc_risk,0.04782642106652507,-0.049222374610734476,-0.001395953544209405,0.0
2,base_lr_clickstream,brier,-0.00039648455869623067,0.002721550696508049,0.002325066137811818,0.0
2,base_lr_clickstream,ece,0.0005103895814761502,0.00047748932534424395,0.0009878789068203941,0.0
2,base_lr_profile,auc,0.006061568452095378,-0.011211142504753802,-0.005149574052658423,0.0
2,base_lr_profile,pr_auc_risk,0.03660283414086429,-0.03798257915523662,-0.0013797450143723244,0.0
2,base_lr_profile,brier,0.0018483265402232246,0.001259435561768829,0.0031077621019920537,0.0
2,base_lr_profile,ece,-0.002164985072736809,0.00805836570729797,0.005893380634561161,0.0
2,base_lr_weekly,auc,0.02160458015423372,-0.01910266584248771,0.002501914311746012,0.0
2,base_lr_weekly,pr_auc_risk,0.05767327550538437,-0.04992920636433562,0.007744069141048748,0.0
2,base_lr_weekly,brier,-0.0028345664513420715,0.0029801582694400364,0.00014559181809796484,0.0
2,base_lr_weekly,ece,-0.004028970438352014,0.0001073687580470644,-0.00392160168030495,0.0
2,base_rf_entropy,auc,0.020596354427378505,-0.014102021591404834,0.006494332835973671,0.0
2,base_rf_entropy,pr_auc_risk,0.0569682824429254,-0.038405414404341254,0.018562868038584146,0.0
2,base_rf_entropy,brier,-0.005179136179025545,0.0029517429835103914,-0.002227393195515154,0.0
2,base_rf_entropy,ece,-0.017373921267659034,0.001976343591527773,-0.015397577676131261,0.0
2,base_rf_gini,auc,0.020620839596440288,-0.014067917203899938,0.00655292239254035,0.0
2,base_rf_gini,pr_auc_risk,0.056885283028741684,-0.037971965119792395,0.01891331790894929,0.0
2,base_rf_gini,brier,-0.005177937022274162,0.002956898147040546,-0.0022210388752336163,0.0
2,base_rf_gini,ece,-0.016656852302372988,0.0022852813134841762,-0.014371570988888813,-1.734723475976807e-18
2,base_svm,auc,0.014737481287032062,-0.01933007266067094,-0.004592591373638877,0.0
2,base_svm,pr_auc_risk,0.048682282653363496,-0.05110638038459164,-0.0024240977312281475,0.0
2,base_svm,brier,0.0011106009006164597,0.001710072649390909,0.0028206735500073687,0.0
2,base_svm,ece,0.011247188588933251,-0.0070934597196550195,0.004153728869278232,0.0
2,flat_hgb,auc,0.014644385794404136,-0.016462043528261916,-0.0018176577338577804,0.0
2,flat_hgb,pr_auc_risk,0.04981285462910395,-0.039461734812177685,0.010351119816926269,0.0
2,flat_hgb,brier,-0.0016103300365995499,0.002708666909751231,0.0010983368731516813,0.0
2,flat_hgb,ece,-0.009712681738536564,0.0013723853599870032,-0.00834029637854956,0.0
2,stack_7_full,auc,0.02168199743495136,-0.014221853505205051,0.00746014392974631,0.0
2,stack_7_full,pr_auc_risk,0.05866721168039246,-0.03882456182945765,0.019842649850934813,0.0
2,stack_7_full,brier,-0.004596183112974245,0.002894694022829672,-0.0017014890901445728,0.0
2,stack_7_full,ece,-0.0016227120114970474,0.00045885171976024416,-0.0011638602917368032,0.0
2,temporal_hgb,auc,0.02168175890888907,-0.019137764491541753,0.0025439944173473172,0.0
2,temporal_hgb,pr_auc_risk,0.058914267836033984,-0.04988207748402812,0.009032190352005864,0.0
2,temporal_hgb,brier,-0.0028445368284510802,0.0029867696310550834,0.00014223280260400317,0.0
2,temporal_hgb,ece,-0.004916141723332374,0.0008794572408673605,-0.004036684482465013,0.0
4,base_dffnn,auc,0.03208796634187855,-0.009584080532138772,0.022503885809739776,0.0
4,base_dffnn,pr_auc_risk,0.08571868205621952,-0.030500127231947283,0.05521855482427224,0.0
4,base_dffnn,brier,-0.012321545205838988,0.0031478349453360477,-0.00917371026050294,0.0
4,base_dffnn,ece,-0.01102146476202854,0.0019145802716424541,-0.009106884490386085,0.0
4,base_knn,auc,0.02566596258972975,-0.010969152802347892,0.01469680978738186,0.0
4,base_knn,pr_auc_risk,0.07327647410131266,-0.03622323949864181,0.03705323460267085,0.0
4,base_knn,brier,-0.006440092112349777,0.002102863239880043,-0.004337228872469734,0.0
4,base_knn,ece,0.009123886784010493,-0.0031692126226817562,0.005954674161328737,0.0
4,base_lr_clickstream,auc,0.023794610458566012,-0.010895778487723773,0.01289883197084224,0.0
4,base_lr_clickstream,pr_auc_risk,0.06434723212840887,-0.027126934025125282,0.03722029810328359,0.0
4,base_lr_clickstream,brier,-0.0041991434973232405,0.002705916936658753,-0.0014932265606644873,0.0
4,base_lr_clickstream,ece,0.004302726886055579,0.0025558647816417875,0.006858591667697367,0.0
4,base_lr_profile,auc,0.005347956934894038,-0.0073907455140319045,-0.0020427885791378664,0.0
4,base_lr_profile,pr_auc_risk,0.04476381229095289,-0.027809389279478125,0.016954423011474762,0.0
4,base_lr_profile,brier,0.0028070234687664064,0.0012149937651643045,0.004022017233930711,0.0
4,base_lr_profile,ece,-0.0013782025704097596,0.004554492681202673,0.003176290110792915,1.734723475976807e-18
4,base_lr_weekly,auc,0.026696842198216497,-0.010853595326520027,0.01584324687169647,0.0
4,base_lr_weekly,pr_auc_risk,0.05974692289163469,-0.02261236498301039,0.0371345579086243,0.0
4,base_lr_weekly,brier,-0.007894684095847426,0.003174052586978865,-0.004720631508868561,0.0
